category,rank,address,userName,total_score,last_rank,last_pnl,pnl_growth_pct,recommendation
overall,1,0xcd9bc2939f0dac121f6ccde59cca5e0b6a91414d,BITCOINTO500K,83.56,33,25982.659711302724,4025868.79,FOLLOW
overall,2,0x96489abcb9f583d6835c8ef95ffc923d05a86825,anoin123,80.41,9,93392.4870795412,235.63,FOLLOW
overall,3,0x5c3a1a602848565bb16165fcd460b00c3d43020b,CoryLahey,74.07,17,48704.76679302938,224.46,FOLLOW
overall,4,0x6211f97a76ed5c4b1d658f637041ac5f293db89e,Tiger200,69.84,13,72295.83893517533,395.92,FOLLOW
overall,5,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,ImJustKen,67.8,48,18207.075205018788,242.21,FOLLOW
politics,1,0x96489abcb9f583d6835c8ef95ffc923d05a86825,anoin123,75.97,1,97864.81399338786,19477762.99,FOLLOW
politics,2,0xd48a81db62f742c4e42d86dfc23a7ee345366e90,NiFengFanPan,74.13,11,10126.741289149388,629.81,FOLLOW
politics,3,0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,alliswell,74.08,4,17144.50511318294,628.9,FOLLOW
politics,4,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,slight-,68.63,4,13963.342505053384,675.7,FOLLOW
politics,5,0xdd5cc0a31573fc60a279577b80f00f27a32f0c2a,twe2nty,68.54,31,4309.039574469993,254.89,FOLLOW
sports,1,0x08c59894c5e32f0e5406799e49a9a33f4b7643ed,shan776,77.14,16,41225.707445149164,38859.92,FOLLOW
sports,2,0xe60a9b0be459d9849bc2339dac20517639ae6a47,0xb7511d7b0dcb75ffad0507cbac7223653d08915,70.24,14,42004.172825464746,25261077.36,FOLLOW
sports,3,0x5c3a1a602848565bb16165fcd460b00c3d43020b,CoryLahey,66.93,16,48704.76679302938,224.46,FOLLOW
sports,4,0x44d4c6f385f1b0b738369e5a0b4ae4030e401970,Liquorme3,66.79,9,79050.12071126164,697.07,FOLLOW
sports,5,0xb55216ed55337cf9443139e4e5cace56426694a8,KirksCousin,66.69,21,47668.955306578835,364.12,FOLLOW
crypto,1,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,0x35babd5d42a0d28341fe70e1714253ed370f9cdf,60.14,34,1707.000637817393,309.08,FOLLOW
crypto,2,0xa8462a75a12138f45ec910d7e2720bee90f6ad47,iniquityFlex,58.93,12,6266.812552254639,723.06,FOLLOW
crypto,3,0xe5f85d076f0b1edd4ec89bfb95e123a9036a8d75,exceeding,57.93,33,3471.1711232518337,246.06,FOLLOW
crypto,4,0x018d645ece7b8580f60f369805486e7df0f86a8f,CAC02,57.47,41,1302.7148946574723,228.27,FOLLOW
crypto,5,0x3139e1b7bdd53cf41407fcc411a8d13bc9b60c17,zLen999,57.23,24,4068.071513222996,484.16,FOLLOW
finance,1,0x6b3f0f764b3c74e8de8f87b04e3c327aca4443dc,Intern.,76.86,8,1966.0835107045025,366.77,FOLLOW
finance,2,0x8575467a6743c81ef0a8d06acc76e99b454a87fe,products,70.4,4,3045.732670168146,523.5,FOLLOW
finance,3,0xff30ac5b2cb4822a1b15604ac90659ef71314a37,aldynspeedruns,58.86,4,5187.983431588002,322.17,FOLLOW
finance,4,0xeef45ae52d83409118fc3979bfa828f3751b10ea,0xEEF45Ae52D83409118Fc3979BFa828f3751b10eA-1769506301093,58.7,2,13672.6405827555,2648.94,FOLLOW
finance,5,0x68c9623b8224c66632aded8159b7111614404c60,500AndADream,57.69,21,1243.3990217945002,429.76,FOLLOW
culture,1,0x9aeb534c42b58b21673d5e03e9da14fbd15b2729,The-Joker,76.32,8,468.8315784285005,1251.18,FOLLOW
culture,2,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,FlyingPlaty,75.83,6,762.639270453099,1719.9,FOLLOW
culture,3,0xbe78735039230635d5debcdc11400619d7e2c533,splatloud,66.84,3,1021.4116386080004,870.66,FOLLOW
culture,4,0x1920fb2f2b88ae1942be59a8845c4ef38bafa04e,CBTrading,64.54,15,307.0354135765074,608.27,FOLLOW
culture,5,0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,aviato,59.61,16,292.34269894108,124.63,FOLLOW
weather,1,0xad5353afe30c2da57709e2704ef3ccdcf67eef24,AJSV,63.91,2,119.97233454405888,453.87,FOLLOW
weather,2,0x16fa9d0c262fd6301ca95be330f7077295e26d0d,0x16FA9D0C262fd6301ca95BE330f7077295E26D0d-1767949291701,61.27,5,75.00980428258697,323.88,FOLLOW
weather,3,0x740161fea93bcb1b4521a438df296b0fb84d05c6,Booboobutt,58.76,3,99.67109355999946,90.45,FOLLOW
weather,4,0xbbc7a26dfe99d3c718e8b091159469505a58150f,Pokeball333,55.69,6,176.99228906340898,6228.17,FOLLOW
weather,5,0x9977760c6bd6f824cac834d1a36ee99478d63020,meropi,53.57,42,31.184958296009427,3372.71,FOLLOW
tech,1,0x95074f700f93bdf6e62fc965e0832064c0877b04,CrazyB1-ch.X0X0,85.77,11,231.25282468146725,198.0,FOLLOW
tech,2,0x0ee43574468bbffe8b1cca1c5236ef712452276f,Syrianbutterfly,67.83,18,610.4801699658397,789.33,FOLLOW
tech,3,0x8575467a6743c81ef0a8d06acc76e99b454a87fe,products,59.2,2,2161.6344235934907,1184.53,FOLLOW
tech,4,0x6828e04b468e17d92fa1e5d60d59290278a81056,Oompa-Loompa,56.16,31,355.4955376669932,343.23,FOLLOW
tech,5,0xc4086b708cd3a50880b7069add1a1a80000f4675,JJo,47.82,14,88.10610538599576,21.66,FOLLOW
mentions,1,0xc40681969b90c1e54527775fa48273a06bef07d9,ChetterHummin,76.8,10,125.10220249400044,1170.81,FOLLOW
mentions,2,0x134a63b764ac7b008356e8db1857db94e6b09e42,Bertapotamous,71.97,38,23.31688000015856,172.01,FOLLOW
mentions,3,0xb5f7d8addbb88193bba6cc32945bde159cce42a9,gambleeveryday,67.68,9,59.05638456150018,634.27,FOLLOW
mentions,4,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,67.15,8,147.38619310550234,4813.39,FOLLOW
mentions,5,0x466948d9d18fcec7a7713a5e6aca8f98ce13a7b8,m0stwant3d,64.56,24,45.16053691458916,2053.52,FOLLOW
economics,1,0xadb4e00b535ae36532764ddfcdbafe48a23f3214,PaulToy,71.97,31,1766.1650125268245,203.69,FOLLOW
economics,2,0xcb3143ee858e14d0b3fe40ffeaea78416e646b02,0xCB3143ee858E14d0B3FE40fFeaEa78416e646B0,69.24,7,39907.80748229957,3133.2,FOLLOW
economics,3,0xdc4f08727c65afc4731b75cf1ed265666b7b4652,third-eye,65.68,35,7722.336613061786,838.67,FOLLOW
economics,4,0xbacd00c9080a82ded56f504ee8810af732b0ab35,ScottyNooo,64.68,1,4975.5291677375935,198.62,FOLLOW
economics,5,0x814de45404c20dd9956737a83f7c8b0b039eb842,resfeber,62.78,50,4825.785045688694,1564.94,FOLLOW
