position,title,eventSlug,first_timestamp,totalBought,realizedPnl,total_invested,total_sells,net_invested,roi_pct,num_trades,has_sells,closed,asset
trade1,Spread: James Madison (-7.5),cfb-jmad-txst-2025-10-29,2025-10-28 09:40:25,99999.958468,-53999.977572,53999.97757600001,0.0,53999.97757600001,-99.99999999259256,21,False,True,100601564483693198828011458850348026305198952843425280214771666272323887955793
trade2,Spread: Texas A&M (-6.5),cfb-txam-missr-2025-11-08,2025-11-08 08:19:47,217551.029773,-106600.004588,106600.00459600001,0.0,106600.00459600001,-99.99999999249529,589,False,True,101748693460231960721080995979938078362150163301016439559063748676923311984942
trade3,Cowboys vs. Raiders: O/U 49.5,nfl-dal-lv-2025-11-17,2025-11-17 15:25:57,99999.9925,-7694.29923,51999.996100000004,44305.701700000005,7694.294399999999,-14.796730398216319,40,True,True,101956724331723484728480043878828770895998520383098493024534708352250567251809
trade4,Suns vs. Kings,nba-phx-sac-2025-11-26,2025-11-27 02:10:07,188147.580625,67733.129025,120414.4516,0.0,120414.4516,56.25,2,False,True,102222914173024498806186723640667058011736779568276711034796166758060383504060
trade5,LoL: Anyone's Legend vs T1 (BO5),lol-al-t1-2025-10-31,2025-10-31 04:15:37,312500.0,162500.0,150000.0,0.0,150000.0,108.33333333333333,1,False,True,102308952779038850228652739886171096398192700873750717123962185272651200875754
trade6,LoL: Hanwha Life Esports vs Anyone's Legend (BO1),lol-hle1-al-2025-10-15,2025-10-15 10:20:25,8142.619515,-4999.999941,4999.999999,0.0,4999.999999,-99.99999884,1,False,True,102948543088811241176173475786982798006643081181096263071358473469381669357586
trade7,LSU vs. Vanderbilt,cfb-lsu-vand-2025-10-18,2025-10-18 04:12:06,783649.910628,360434.665741,423195.97824100003,19980.0,403215.97824100003,85.1696812524388,854,True,True,103680991403392273426942017657077311832890206700893088124116458331237506971975
trade8,Spread: Patriots (-7.5),nfl-nyg-ne-2025-12-01,2025-12-01 12:51:48,70999.957818,-38339.977221,38339.97722500002,0.0,38339.97722500002,-99.99999998956697,111,False,True,103821619123283449656302676569513585770347243680728931670315948714771505071634
trade9,Ole Miss vs. Mississippi State,cfb-miss-mspst-2025-11-28,2025-11-28 08:13:59,228013.96999999997,59692.46124799999,168321.5516,0.0,168321.5516,35.46335016555301,2,False,True,103833774544125025532765182277440999572840100769701972769500875792759411624499
trade10,Ole Miss vs. Georgia: O/U 55.5,cfb-miss-ga-2026-01-01,2026-01-01 22:20:27,95807.71,-52694.2405,52694.2405,0.0,52694.2405,-100.0,3,False,False,103876374672024039016436129933318546078573304533736749569928306286309397146808
trade11,Clippers vs. Hawks,nba-lac-atl-2025-12-03,2025-12-03 21:36:25,214738.665407,-130940.33705000002,130940.58589799999,0.0,130940.58589799999,-99.99980995350046,3,False,True,104636923712878084455398403534693215893705491882606951092943092526184022318136
trade12,North Texas vs. Tulane,cfb-ntx-tulane-2025-12-05,2025-12-05 14:42:15,687326.52818,-377393.126133,377395.5887990001,0.0,377395.5887990001,-99.99934745766163,18,False,True,106030380401728095172804925879144487064714302208793465659991701064663527590860
trade13,Spread: Arizona State (-8.5),cfb-hou-arzst-2025-10-26,2025-10-25 17:05:51,177999.92184,76539.966391,101459.95545399998,0.0,101459.95545399998,75.4385964871646,74,False,True,106727541015524519748306784123715964769380758744678558318560890820639197542234
trade14,Colts vs. Steelers,nfl-ind-pit-2025-11-02,2025-11-02 13:11:25,349999.980536,-220499.987737,220499.987739,0.0,220499.987739,-99.99999999909296,217,False,True,106886494312349065248901381178626835440833853003910804168344979029653016833862
trade15,Counter-Strike: B8 vs Natus Vincere (BO3),cs2-b8-navi-2025-12-07,2025-12-07 14:26:35,7034.12344,728.411262,6298.679996000001,7027.08588,-728.4058839999989,11.564506570624006,2,True,True,108501669947530708929443845379236309133866396377261372123915185764680866370931
trade16,Celtics vs. Magic,nba-bos-orl-2025-11-08,2025-11-07 03:58:23,7172.579023,-143.4514,4231.821624,4088.3648999999996,143.45672400000058,-3.3898262437726987,3,True,True,108673199024787070639451991278202464687828286466015407515066336749672880492162
trade17,Capitals vs. Canadiens,nhl-wsh-mon-2025-11-20,2025-11-20 05:03:27,2106953.423656,-1185039.097507,1185051.175572,0.0,1185051.175572,-99.99898079802382,47,False,True,109277418663584796435790720803838682868012073833639841510391138678018307819334
trade18,Pistons vs. Grizzlies,nba-det-mem-2025-11-04,2025-11-03 04:21:55,1677543.876821,605098.464088,1072499.932304,0.0,1072499.932304,56.41944077218691,619,False,True,109703261066071912064628961808224384744471925352361368052246808816613082346085
trade19,Hawks vs. Jazz,nba-atl-uta-2025-11-13,2025-11-14 01:19:18,921559.5559999999,421559.124856,500000.78,0.0,500000.78,84.31169344495822,1,False,True,112138823621306660544961530428237388266003156586798106103403358748390185083335
trade20,Thunder vs. Clippers,nba-okc-lac-2025-11-05,2025-11-05 02:53:17,1081082.522161,281082.536844,800001.066399,0.0,800001.066399,35.135270270228645,4,False,True,112291590669644520318733652318079267717867707441421636109796937594766664397273
trade21,UNLV vs. Colorado State,cfb-unlv-colst-2025-11-08,2025-11-09 01:22:11,29025.38,10129.85762,18866.497000000003,28996.354620000002,-10129.857619999999,53.692307692307686,8,True,True,113737647913594547508362442686340593822080098583256836391903872171314734696129
trade22,Spread: Indiana (-26.5),cfb-ucla-ind-2025-10-25,2025-10-25 13:33:31,9066.0,-4714.32,4714.32,0.0,4714.32,-100.0,2,False,True,11410210811757451038994379157012464603709550477497936415428197715426399875050
trade23,Canucks vs. Blackhawks,nhl-van-chi-2025-10-17,2025-10-17 11:26:02,123999.996278,53195.995709999996,70679.99787900002,123875.99001000001,-53195.99213099999,75.26315408366085,6,True,True,11510049566646295388447098028881635173815824359835004551743182929360813956763
trade24,Warriors vs. Lakers,nba-gsw-lal-2025-10-21,2025-10-22 01:37:31,222507.420876,97507.424483,124999.99999899999,0.0,124999.99999899999,78.00593958702406,1,False,True,115152008118765244343487114539449379750173974324869251973707544487356888724377
trade25,LoL: CTBC Flying Oyster vs Fnatic (BO1),lol-cfo-fnc-2025-10-15,2025-10-15 05:58:49,17968.44,5888.419503,12038.8548,17927.2765,-5888.421700000001,48.911791036801944,2,True,True,1277172056780059161499557150680649274375668485934001193468116172260425087553
trade26,Troy vs. Jacksonville State,cfb-troy-jaxst-2025-12-16,2025-12-16 06:46:09,6640.000000000001,466.57288,3253.6,3720.1745000000005,-466.5745000000006,14.340204081632654,2,True,True,12992646636861004421424946993453857359413353170712425368193430999881174992024
trade27,LoL: Cloud9 vs BNK FEARX (BO1),lol-c9-fox1-2025-12-08,2025-12-08 07:58:37,13893.6466,-10184.1819,10184.189998,0.0,10184.189998,-99.99992048459424,1,False,False,13024232674748558656881726514537791461428656910955936664242004928796841387185
trade28,Clippers vs. Warriors,nba-lac-gsw-2025-10-29,2025-10-29 02:33:27,230836.918147,-124135.78445,124135.99999899999,0.0,124135.99999899999,-99.9998263606045,1,False,True,13574144071637000647847673812540937418094892574120740792765602393177388985995
trade29,Avalanche vs. Golden Knights,nhl-col-las-2025-10-31,2025-10-31 16:56:34,209999.996922,-100799.998522,100799.99852299999,0.0,100799.99852299999,-99.99999999900794,9,False,True,14105792661945853039404902238864236206591222738711873439092117234073414175041
trade30,Senators vs. Blues,nhl-ott-stl-2025-11-28,2025-11-28 19:56:37,343540.037494,-178396.56253,178397.598798,0.0,178397.598798,-99.99941912446862,22,False,True,15426881279202818272512955583739702969215282046209385881921373390062006818778
trade31,LoL: KT Rolster vs Top Esports (BO3),lol-kt-tes-2025-10-17,2025-10-17 06:41:16,12631.958903,-9166.178866,9166.179999,0.0,9166.179999,-99.99998763934377,1,False,True,16154352762745345528945346964195920530966656046633980003109515836036622895510
trade32,Avalanche vs. Utah,nhl-col-utah-2025-10-21,2025-10-22 05:00:54,22550.0,-12177.0,12177.0,0.0,12177.0,-100.0,1,False,True,16270524908368333732757109232047424420912109417763526754433801340116977329047
trade33,Army vs. Air Force,cfb-army-airf-2025-11-01,2025-11-01 05:20:56,581094.323388,275018.57809,306077.740598,0.0,306077.740598,89.852524901903,150,False,True,18451247091625759406450928010616348657314559466168880741045403917005457607718
trade34,Predators vs. Flyers,nhl-nsh-phi-2025-10-30,2025-10-30 03:54:57,369019.05558,154988.003343,214031.052271,0.0,214031.052271,72.41379309146161,220,False,True,20286804554610793609776711845813029215765065867173493963472506116230686656136
trade35,Will US Cremonese win on 2025-12-07?,sea-cre-lec-2025-12-07,2025-12-07 12:58:51,6347.44115,1364.1156350000003,4917.826397000001,6281.946639999999,-1364.1202429999985,27.73818197063942,3,True,True,20487896134179687428215036249444517151708817641360563798806719513489904280996
trade36,Blues vs. Devils,nhl-stl-nj-2025-11-26,2025-11-26 22:59:11,354943.234034,152625.945577,202317.64339900002,0.0,202317.64339900002,75.43877192954412,2,False,True,21165205039344020936156309970971754279986621574981048530401960904357947005357
trade37,Devils vs. Avalanche,nhl-nj-col-2025-10-28,2025-10-28 09:15:45,339382.380229,135900.922809,203485.603938,0.0,203485.603938,66.78650488238354,162,False,True,21562478105235988729280849235151396511179754843705841250426067443765404920696
trade38,Clemson vs. Louisville,cfb-clmsn-lou-2025-11-14,2025-11-14 22:27:56,899019.0557129999,-499998.438025,500000.79919900006,0.0,500000.79919900006,-99.9995277659548,30,False,True,21962340687235521040144570181677571501060970461569650755326684424075986313864
trade39,Will Chelsea FC win on 2025-12-13?,epl-che-eve-2025-12-13,2025-12-13 16:32:09,21660.7749,376.875737,21262.249941000002,21639.109230000002,-376.859289,1.7725110844138394,2,True,True,22600883523922603308940035208026990679526921469657948846028347319771527250598
trade40,Wild vs. Penguins,nhl-min-pit-2025-11-21,2025-11-21 09:24:39,1808301.277837,-999773.61049,999777.3216599999,0.0,999777.3216599999,-99.9996288003419,69,False,True,23571232197133715841862019771415899747760230365044655567356458282755182586356
trade41,Will AZ win on 2025-12-07?,ere-az-goa-2025-12-07,2025-12-07 14:17:21,1489.9404,-1251.5499,1251.549999,0.0,1251.549999,-99.99999208980861,1,False,False,23819246028546737004274301280692329359312885050635628855970103341013628072904
trade42,Bournemouth vs. Everton: O/U 1.5,epl-bou-eve-2025-12-02-more-markets,2025-12-02 12:53:20,71994.27278,-56063.956053,56063.979996,0.0,56063.979996,-99.9999572934351,1,False,True,2462141407003623177352139956670593588766266457150434625233406682554290693325
trade43,Steelers vs. Chargers,nfl-pit-lac-2025-11-09,2025-11-09 21:47:17,633031.95427,222841.806134,409557.680051,632398.91805,-222841.237999,54.410359514257124,182,True,True,25241305441004653833865661117549062972146769315739284044666598007338376507795
trade44,Spread: Buccaneers (-5.5),nfl-tb-no-2025-10-26,2025-10-26 07:37:37,179999.918158,-100799.954168,100799.954174,0.0,100799.954174,-99.99999999404761,26,False,True,25515969227416893472840348687961729757452891221861638331139886487619063406175
trade45,Stars vs. Senators,nhl-dal-ott-2025-11-11,2025-11-11 06:17:43,915600.0139280001,-489200.509441,489203.8983509999,0.0,489203.8983509999,-99.9993072602219,39,False,True,25670319955751543215700145721038221868686354934335436744701472471418525750597
trade46,Wild vs. Flames,nhl-min-cal-2025-12-04,2025-12-04 12:52:25,377395.59,196425.34709999996,180970.7754,0.0,180970.7754,108.53981625808954,7,False,True,26421162657447456860809547599194315768927793018021019783716407106767352863255
trade47,Suns vs. Clippers,nba-phx-lac-2025-10-24,2025-10-25 02:29:28,187341.772147,39341.959492,147999.999996,0.0,147999.999996,26.58240506288061,1,False,True,26461412788657205792894515468673620689759904169179082477787987039168904518407
trade48,Spread: Utah (-1.5),nhl-utah-sj-2025-12-01,2025-12-02 02:18:44,65038.716029,24064.389969,40974.391098,0.0,40974.391098,58.73031745961591,2,False,True,27934333205209537373954951668875327636334133203224872229418354201879701688476
trade49,Spread: Timberwolves (-9.5),nba-ind-min-2025-10-26,2025-10-26 17:20:39,170000.0,-102000.00000000001,102000.0,0.0,102000.0,-100.00000000000003,1,False,True,28251209552723743631274553952283824700873939546320643101711057802184654353270
trade50,LoL: Gen.G vs Top Esports - Game 1 Winner,lol-gen-tes-2025-10-23,2025-10-23 10:29:05,38994.17,10879.37343,28075.8024,38955.17583,-10879.37343,38.74999999999999,3,True,True,2828983199538087600238950850106967249841247164212037442351663248667018202898
trade51,Bruins vs. Senators,nhl-bos-ott-2025-10-27,2025-10-27 08:04:07,1599999.341909,607899.749925,991999.5920249999,99900.0,892099.5920249999,61.2802419287366,640,True,True,33420382646074088952462144917171239554272440675601756552457951290703806276004
trade52,Nuggets vs. Warriors,nba-den-gsw-2025-10-23,2025-10-24 01:39:29,37181.132074,17437.987151,19705.999999,37143.94887,-17437.948871,88.49074978120831,2,True,True,33677013499114386644929741306604334694137926215174021050603064428593378784746
trade53,Wild vs. Devils,nhl-min-nj-2025-10-22,2025-10-22 12:07:46,203552.691112,86290.26036800002,117262.564436,0.0,117262.564436,73.58721923150149,26,False,True,34068295310637330142284209414925431075353357896187697007844260527164287241809
trade54,Devils vs. Maple Leafs,nhl-nj-tor-2025-10-21,2025-10-21 10:01:58,813177.143068,406738.196128,406440.599273,0.0,406440.599273,100.07322025790049,16,False,True,34747512848087063528437308981744878091094460261639028099522293009743421897137
trade55,Golden Knights vs. Panthers,nhl-las-fla-2025-10-25,2025-10-25 19:55:25,189999.985829,-98799.992631,98799.992632,0.0,98799.992632,-99.99999999898786,27,False,True,34950483011483943421652675047715155109181582039644501150521187854005070209188
trade56,Bruins vs. Islanders,nhl-bos-nyi-2025-11-04,2025-11-04 09:40:39,491161.320751,-301980.714837,301985.76171700004,0.0,301985.76171700004,-99.9983287688892,117,False,True,35520672333462100193504236158135206701531398407983650571097791473636085770484
trade57,Spread: Central Michigan (-9.5),cfb-cmich-kentst-2025-11-19,2025-11-19 14:22:43,748433.943987,-399963.8481,399999.99212300003,0.0,399999.99212300003,-99.99096399407205,88,False,True,36004641368063850624722527522409510501776921093785983540869999261105402371357
trade58,Canadiens vs. Flames,nhl-mon-cal-2025-10-22,2025-10-23 03:27:53,73471.573771,33398.191989,39999.999999,73398.09843000001,-33398.09843100001,83.49547997458738,3,True,True,36562047143915326794843619543399124086211219034000290215653819000484596372701
trade59,Oilers vs. Kraken,nhl-edm-sea-2025-10-25,2025-10-26 00:34:09,240709.859794,140710.07777,99999.99999899999,0.0,99999.99999899999,140.71007777140713,1,False,True,37841672176435463326986953208806183966360309797932594059278360576435039026468
trade60,Utah vs. Ducks,nhl-utah-ana-2025-11-17,2025-11-18 02:59:43,103677.75358200002,53942.291055,49735.553583999994,0.0,49735.553583999994,108.45820980738681,5,False,True,39396799226343642726510481980996697844810280811356416246126867036199527176106
trade61,Missouri vs. Vanderbilt,cfb-missr-vand-2025-10-25,2025-10-25 16:58:23,164857.117257,64857.262785000006,99999.999999,0.0,99999.999999,64.85726278564857,1,False,True,41400609010618408449362431819064300157573618287335383083142341164914964645971
trade62,Chargers vs. Jaguars: O/U 45.5,nfl-lac-jax-2025-11-16,2025-11-16 16:14:31,10.0,4.1,5.8999999999999995,0.0,5.8999999999999995,69.49152542372882,1,False,True,42648650659755636577558345364723570255167542422916533442829156084079169523243
trade63,Buffalo vs. Central Michigan,cfb-buf-cmich-2025-11-12,2025-11-12 09:12:13,559717.147927,245344.175753,314373.47759799997,0.0,314373.47759799997,78.04226286122326,18,False,True,42660351183619578043212613685699745421195431878989966240014828939955239920903
trade64,Texas State vs. Southern Miss,cfb-txst-soumis-2025-11-15,2025-11-15 13:15:29,1968428.084676,-1199955.728846,1199960.1364989998,0.0,1199960.1364989998,-99.99963268338125,14,False,True,44614025455547025832031057360722949663859741688861644577692058326229643557547
trade65,Kings vs. Capitals,nhl-lak-wsh-2025-11-17,2025-11-17 17:50:57,175922.90339200004,83617.387442,92305.699997,0.0,92305.699997,90.58745824441787,2,False,True,44988878971250712033581055202896307767763669324599699482604873206444244254064
trade66,Flyers vs. Predators,nhl-phi-nsh-2025-11-06,2025-11-06 04:54:05,605696.394251,-332885.28701200004,332928.531653,0.0,332928.531653,-99.98701083359084,263,False,True,45437065479385849840617366856969205431127915241289281580676642980175393971631
trade67,Spread: Ravens (-8.5),nfl-bal-cle-2025-11-16,2025-11-16 16:11:43,462807.793593,212676.85770900003,249905.290234,229770.0,20135.290233999986,85.10298341818176,47,True,True,47505853443879238424888929636936980418835337147524790889715823480063532094331
trade68,Dodgers vs. Blue Jays,mlb-lad-tor-2025-10-24,2025-10-24 11:00:19,147622.711664,-87999.817518,87999.99999799998,0.0,87999.99999799998,-99.99979263636365,2,False,True,48541303596244574265290705285238312637184339437683340367174316882409741268694
trade69,Will Paris Saint-Germain FC win on 2025-11-26?,ucl-psg1-tot-2025-11-26,2025-11-26 10:48:31,120414.45,37328.4795,83085.9705,0.0,83085.9705,44.92753623188406,1,False,True,48615692589434511992034274844991092436347512608828416261019501483538081560740
trade70,Magic vs. Pistons,nba-orl-det-2025-11-28,2025-11-28 23:39:05,374603.868851,-228507.985395,228508.35999899998,0.0,228508.35999899998,-99.99983606551639,1,False,True,50308957576176567642928668574055513749939734861178241632179610761963733217860
trade71,Maple Leafs vs. Blue Jackets,nhl-tor-cbj-2025-10-29,2025-10-29 07:27:55,34451.291963,16881.133061,17570.158915,0.0,17570.158915,96.0784312917525,112,False,True,52592797464455819353738741765197327949598713447376576306414272617642269116108
trade72,Houston vs. UCF,cfb-hou-ucf-2025-11-07,2025-11-07 05:56:23,1432208.078915,687240.750043,744968.2799450001,0.0,744968.2799450001,92.25100833739364,265,False,True,52850967253492360826171547211721921688535167444467400669769214261267468250607
trade73,Hawks vs. Kings,nba-atl-sac-2025-11-12,2025-11-13 02:29:18,894271.395237,331579.736468,562692.329999,0.0,562692.329999,58.927360262506035,3,False,True,53157904136297093674173862730136508447316451126508048642020012699724842112609
